,ticker,weighted_score,sentiment_score,iv_change,price_change_pct,openInterest_previous,normalized_score,sentiment,trading_date,prev_trading_date
103,IMAX,378.54896607164414,1.4512319439511807,0.009929989603449792,-0.46235623734220543,11471.0,330.0052010039614,BULLISH,2025-05-23,2025-05-22
240,WBD,27565.907643141865,-2.0610253913302414,-0.020530612943319284,1.9949293610104288,942379.0,292.5140271922641,BULLISH,2025-05-23,2025-05-22
180,RIO,5453.862117169506,0.5110980660953621,-0.0064845502638542826,0.18828196206945474,202861.0,268.8472460043826,BULLISH,2025-05-23,2025-05-22
189,SCHW,12257.741883159992,-0.7597475883125412,0.010880926463914952,-0.47984768366412955,475650.0,257.7050748062649,BULLISH,2025-05-23,2025-05-22
252,XLP,7076.425498055512,-1.0604795090489019,0.11683755650459746,0.4913710547314384,435323.0,162.55574591867446,BULLISH,2025-05-23,2025-05-22
37,CF,1919.4640437701107,1.633185226074515,0.003636177008749328,0.35666643916416835,132556.0,144.80401066493488,BULLISH,2025-05-23,2025-05-22
195,SHEL,2390.4002659147245,-1.6192757238168338,0.021598971576993423,0.31920574780965577,228857.0,104.44951502093991,BULLISH,2025-05-23,2025-05-22
135,MNDY,127.32388023491932,-0.38566327450747023,0.008081709199202695,-0.36469780497750093,15696.0,81.11868006811882,BULLISH,2025-05-23,2025-05-22
204,SPGI,221.05122618734327,-1.1484670814532576,0.011936381949854262,-0.8874712676446171,28818.0,76.7059567587422,BULLISH,2025-05-23,2025-05-22
51,CRDO,449.7664524025069,0.40467474212919935,0.020601927554108373,0.65415464534793,62065.0,72.46700272335566,BULLISH,2025-05-23,2025-05-22
107,IRBT,699.373013226348,-1.4765268797947244,0.27561154484477807,0.22541951565592558,106302.0,65.79114346167975,BULLISH,2025-05-23,2025-05-22
193,SFIX,135.03582721749106,-0.08535427358714098,0.1764750239577249,-1.1904616072142213,27761.0,48.64227773404814,BULLISH,2025-05-23,2025-05-22
248,XLE,3711.3208930887463,-0.7631546934121614,0.031482351460958034,-0.6625310887774407,2236993.0,16.590668335076355,BULLISH,2025-05-23,2025-05-22
238,VRM,0.0,0.0,0.0,0.0,3560.0,0.0,BEARISH,2025-05-23,2025-05-22
243,WKHS,0.0,0.0,0.8364416976436494,0.0,17193.0,0.0,BEARISH,2025-05-23,2025-05-22
70,DNUT,-282.4621646842872,-0.7506518805232326,0.01335308825041117,0.14331720994288882,59725.0,-47.29379065454788,BEARISH,2025-05-23,2025-05-22
